채널,메시지프레이밍,메시지소구,광고모델,클릭율
4,1,1,2,0.05400
4,1,1,2,0.17300
4,1,1,2,0.14800
4,1,1,2,0.17300
4,1,1,2,0.12800
4,1,1,2,0.14100
4,1,1,2,0.15800
4,1,1,2,0.15200
4,1,2,1,0.04400
4,1,1,2,0.09400
4,1,1,2,0.18400
4,1,1,2,0.16500
4,1,1,3,0.02100
4,2,2,1,0.05100
4,1,1,2,0.13300
4,1,1,3,0.02200
4,1,2,2,0.05700
4,1,2,3,0.01100
4,2,2,2,0.01000
4,1,1,3,0.04400
4,2,1,3,0.00900
4,1,2,2,0.06000
4,1,1,3,0.02100
4,1,2,1,0.03900
4,1,2,1,0.04200
4,1,2,1,0.02900
4,2,2,1,0.05300
4,1,1,3,0.03300
4,1,2,1,0.04900
4,1,1,3,0.03600
4,1,1,2,0.03200
4,1,2,2,0.00700
4,2,2,2,0.02000
4,1,1,1,0.05100
4,1,1,1,0.05100
4,1,2,3,0.02500
4,2,2,2,0.01500
4,2,1,3,0.02400
4,2,2,2,0.03400
4,2,2,1,0.06000
4,1,2,1,0.06300
4,1,1,3,0.09000
4,1,1,3,0.02000
4,1,1,2,0.01600
4,1,1,2,0.03000
4,2,2,1,0.03800
4,2,2,2,0.01300
4,1,1,3,0.02700
4,1,2,1,0.04000
4,1,2,2,0.01800
4,1,1,3,0.07100
4,1,2,2,0.02100
4,1,1,2,0.01600
4,1,1,2,0.01000
4,1,1,3,0.11500
4,1,1,1,0.08900
4,2,2,1,0.02700
4,1,2,1,0.05100
4,1,2,1,0.07500
4,1,1,1,0.07100
4,2,1,3,0.03000
4,1,2,1,0.03400
4,1,1,1,0.05600
4,1,2,1,0.07900
4,1,2,2,0.01200
4,1,1,2,0.04100
4,1,2,1,0.06900
4,2,2,1,0.04700
4,2,2,2,0.01700
4,1,1,1,0.06500
4,1,2,1,0.07500
4,1,2,1,0.03900
4,2,2,2,0.01100
4,2,2,1,0.04800
4,2,1,3,0.04900
4,1,2,1,0.05500
4,2,2,1,0.04600
4,1,1,3,0.05200
4,1,2,1,0.02500
4,1,1,1,0.05800
4,1,2,2,0.04900
4,1,2,3,0.02000
4,1,2,1,0.03800
4,1,2,2,0.04300
4,2,2,1,0.04300
4,1,2,1,0.06000
4,1,2,3,0.02700
4,2,1,3,0.05000
4,2,2,1,0.04000
4,1,2,2,0.01600
4,2,1,3,0.02400
4,2,2,2,0.01300
4,2,2,2,0.01300
4,1,2,2,0.02500
4,2,1,3,0.01600
4,1,2,1,0.02800
4,1,2,2,0.03000
4,2,2,1,0.05400
4,1,2,1,0.07100
4,1,2,1,0.04400
4,1,1,2,0.02000
4,1,1,1,0.07700
4,1,1,3,0.02300
4,1,2,3,0.01100
4,1,2,2,0.01500
4,1,2,1,0.02400
4,1,1,2,0.06600
4,1,2,2,0.03700
4,2,1,3,0.02300
4,1,1,3,0.03900
4,1,1,3,0.01300
4,1,1,3,0.02300
4,1,1,2,0.07000
4,1,1,2,0.03400
4,1,2,1,0.02300
4,2,1,1,0.03800
4,1,2,1,0.11800
4,1,2,3,0.02000
4,1,2,1,0.04800
4,1,1,3,0.05000
4,1,2,2,0.01400
4,2,1,3,0.01400
4,1,1,3,0.01700
4,1,2,2,0.00800
4,1,1,3,0.01200
4,1,1,2,0.01000
4,1,1,3,0.04000
