SNS Platform,Framing,Appeal,Model,Product,Season,CTR
Facebook,Positive,Rational,Ordinary,Procedure,Season,0.01011378
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.010200927
Instagram,Positive,Emotional,Ordinary,Procedure,Season,0.005872823
Instagram,Negative,Emotional,Character,Procedure,Season,0.02819565
Instagram,Negative,Emotional,Character,Procedure,Season,0.004755073
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.03062922
Facebook,Positive,Rational,Ordinary,Procedure,Season,0.005815781
Instagram,Positive,Rational,Character,Procedure,Season,0.012668778
Facebook,Positive,Rational,Character,Procedure,Season,0.009941193
Facebook,Positive,Rational,Ordinary,Procedure,Season,0.00442166
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.016773733
Facebook,Positive,Rational,Ordinary,Procedure,Season,0.005570118
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.017689016
Facebook,Positive,Emotional,Character,Procedure,Season,0.010454816
Instagram,Positive,Emotional,Character,Procedure,Season,0.029782594
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.019753385
Facebook,Positive,Emotional,Ordinary,Suction,Season,0.02806379
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.039115402
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.022109679
Facebook,Positive,Emotional,Ordinary,Suction,Season,0.013501883
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.034200036
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.01591942
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.014638762
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.009994515
Instagram,Positive,Rational,Ordinary,Suction,Season,0.012543232
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.009757164
Facebook,Positive,Emotional,Ordinary,Suction,Season,0.003815674
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.007385664
Facebook,Positive,Rational,Ordinary,Suction,Season,0.005418347
Instagram,Positive,Rational,Ordinary,Suction,Season,0.006421483
Instagram,Positive,Emotional,Ordinary,Procedure,Season,0.027115493
Facebook,Positive,Emotional,Ordinary,Procedure,Season,0.017298883
Instagram,Positive,Emotional,Ordinary,Procedure,Season,0.021123629
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.031251338
Facebook,Positive,Rational,Ordinary,Procedure,Season,0.016822302
Facebook,Positive,Rational,Ordinary,Procedure,Season,0.013782468
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.008248667
Facebook,Positive,Rational,Ordinary,Procedure,Season,0.004540732
Instagram,Positive,Emotional,Ordinary,Procedure,Season,0.00811527
Facebook,Positive,Emotional,Ordinary,Procedure,Season,0.002612956
Instagram,Negative,Emotional,Character,Procedure,Season,0.017275521
Facebook,Negative,Emotional,Character,Procedure,Season,0.00521251
Instagram,Negative,Emotional,Character,Procedure,Season,0.008155417
Facebook,Negative,Emotional,Character,Procedure,Season,0.018649815
Facebook,Positive,Rational,Ordinary,Procedure,Season,0.005493193
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.022279036
Facebook,Positive,Rational,Ordinary,Procedure,Season,0.017673716
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.057562768
Facebook,Positive,Rational,Character,Procedure,Season,0.007729469
Instagram,Positive,Rational,Character,Procedure,Season,0.008801341
Facebook,Positive,Rational,Character,Procedure,Season,0.019972587
Instagram,Positive,Rational,Character,Procedure,Season,0.047657512
Facebook,Positive,Rational,Ordinary,Procedure,Season,0.013632525
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.047507178
