메시지프레이밍,메시지소구,광고모델,클릭율
2,2,2,0.02
1,1,1,0.051
1,1,1,0.051
1,2,3,0.025
2,2,2,0.015
2,1,3,0.024
2,2,2,0.034
2,2,1,0.06
1,2,1,0.063
1,1,3,0.09
1,1,3,0.02
1,1,2,0.016
1,1,2,0.03
2,2,1,0.038
2,2,2,0.013
1,1,3,0.027
1,2,1,0.04
1,2,2,0.018
1,1,3,0.071
1,2,2,0.021
1,1,2,0.016
1,1,2,0.01
1,1,3,0.115
1,1,1,0.089
2,2,1,0.027
1,2,1,0.051
1,2,1,0.075
1,1,1,0.071
2,1,3,0.03
1,2,1,0.034
1,1,1,0.056
1,2,1,0.079
1,2,2,0.012
1,1,2,0.041
1,2,1,0.069
2,2,1,0.047
2,2,2,0.017
1,1,1,0.065
1,2,1,0.075
1,2,1,0.039
2,2,2,0.011
2,2,1,0.048
2,1,3,0.049
1,2,1,0.055
2,2,1,0.046
1,1,3,0.052
1,2,1,0.025
1,1,1,0.058
1,2,2,0.049
1,2,3,0.02
1,2,1,0.038
1,2,2,0.043
2,2,1,0.043
1,2,1,0.06
1,2,3,0.027
2,1,3,0.05
2,2,1,0.04
1,2,2,0.016
2,1,3,0.024
2,2,2,0.013
2,2,2,0.013
1,2,2,0.025
2,1,3,0.016
1,2,1,0.028
1,2,2,0.03
2,2,1,0.054
1,2,1,0.071
1,2,1,0.044
1,1,2,0.02
1,1,1,0.077
1,1,3,0.023
1,2,3,0.011
1,2,2,0.015
1,2,1,0.024
1,1,2,0.066
1,2,2,0.037
2,1,3,0.023
1,1,3,0.039
1,1,3,0.013
1,1,3,0.023
1,1,2,0.07
1,1,2,0.034
1,2,1,0.023
2,1,1,0.038
1,2,1,0.118
1,2,3,0.02
1,2,1,0.048
1,1,3,0.05
1,2,2,0.014
2,1,3,0.014
1,1,3,0.017
1,2,2,0.008
1,1,3,0.012
1,1,2,0.01
1,1,3,0.04
1,1,1,0.055
2,2,2,0.022
1,1,3,0.012
1,1,3,0.012
2,2,2,0.026
1,2,3,0.02
1,1,3,0.013
1,2,1,0.024
1,2,2,0.006
1,1,2,0.052
1,1,3,0.025
1,1,1,0.028
1,1,3,0.038
1,2,2,0.026
1,2,1,0.066
1,1,1,0.072
1,1,3,0.041
1,2,3,0.021
1,2,2,0.01
2,2,2,0.02
1,2,3,0.012
1,1,3,0.039
2,2,1,0.036
1,2,1,0.023
2,2,2,0.014
1,1,3,0.012
1,1,3,0.013
1,1,3,0.013
1,1,3,0.014
1,1,3,0.025
1,2,3,0.012
2,2,3,0.013
2,2,2,0.02
1,1,3,0.012
1,2,3,0.03
1,1,1,0.02
1,2,2,0.016
1,2,2,0.032
1,2,1,0.026
1,1,3,0.027
1,1,3,0.015
1,2,3,0.024
1,1,2,0.044
1,1,1,0.024
1,2,2,0.017
1,1,3,0.011
1,2,3,0.013
1,1,3,0.026
1,2,1,0.028
1,1,3,0.025
2,1,1,0.025
1,1,3,0.016
1,2,1,0.036
1,2,2,0.017
1,2,2,0.012
1,1,3,0.031
1,2,2,0.006
1,1,3,0.019
1,2,3,0.014
1,2,3,0.025
1,1,3,0.028
2,1,3,0.005
1,2,2,0.02
1,2,2,0.01
1,1,3,0.036
1,2,1,0.034
1,1,2,0.02
1,1,3,0.015
1,2,2,0.016
1,2,3,0.013
1,1,2,0.031
2,1,3,0.008
1,2,3,0.015
1,1,3,0.011
2,2,3,0.021
1,1,3,0.019
1,1,3,0.015
1,2,3,0.013
1,2,3,0.02
1,2,1,0.016
1,2,1,0.026
1,1,2,0.013
2,1,3,0.006
1,2,2,0.012
2,1,3,0.005
1,2,1,0.054
2,2,3,0.019
1,1,1,0.01
1,2,2,0.006
1,1,3,0.009
1,1,3,0.069
1,1,3,0.027
1,1,3,0.016
2,2,2,0.01
1,1,1,0.022
1,1,3,0.012
1,1,3,0.032
1,1,3,0.014
1,1,3,0.014
2,1,3,0.007
1,1,2,0.03
2,1,3,0.025
1,1,3,0.012
1,1,3,0.01
1,2,3,0.004
1,2,2,0.011
1,2,2,0.01
1,1,3,0.008
2,2,3,0.014
1,2,3,0.024
1,1,1,0.018
1,1,2,0.028
2,1,3,0.006
1,2,1,0.04
1,2,2,0.032
2,1,3,0.007
1,2,2,0.02
1,2,3,0.009
1,1,3,0.016
2,1,3,0.035
1,2,2,0.008
1,1,3,0.014
1,1,3,0.02
2,1,3,0.009
2,1,3,0.015
1,1,3,0.01
2,1,3,0.013
2,2,3,0.009
1,2,2,0.012
1,2,2,0.012
1,1,2,0.022
1,2,2,0.006
1,1,2,0.017
1,2,3,0.015
1,2,2,0.018
1,2,3,0.013
2,2,2,0.014
1,2,2,0.02
1,1,3,0.01
1,1,3,0.02
1,1,3,0.015
1,2,3,0.019
1,2,2,0.021
1,2,1,0.02
1,1,3,0.026
1,2,2,0.01
1,2,2,0.032
1,1,3,0.012
1,1,3,0.017
1,1,3,0.013
1,2,1,0.035
2,2,2,0.027
